tick,t_ms,joint,q,dq,q_traj,dq_traj,q_des,target,target_raw,q_env_lo,q_env_hi,lead,lead_sat,settle_error,phase,friction_mode,tau_p,tau_g,tau_f,tau_d,tau_ff_cmd,tau_meas,dq_mit,kp,kd,joint_stuck,planner_frozen
232,1160,right_shoulder_pitch,0.889352,0.239714,0.580123,0.500000,0.839352,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.594648,Cruise,traj_vel,-0.400000,1.920006,0.150000,0.490880,2.560887,2.100284,0.500000,8.000,2.000,0,0
233,1165,right_shoulder_pitch,0.892037,0.167720,0.582623,0.500000,0.842037,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.591963,Cruise,traj_vel,-0.400000,1.924180,0.150000,0.534300,2.608480,1.924496,0.500000,8.000,2.000,0,0
234,1170,right_shoulder_pitch,0.896256,0.263733,0.585123,0.500000,0.846256,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.587744,Cruise,traj_vel,-0.400000,1.930711,0.150000,0.518858,2.599570,2.012390,0.500000,8.000,2.000,0,0
235,1175,right_shoulder_pitch,0.900474,0.263693,0.587623,0.500000,0.850474,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.583526,Cruise,traj_vel,-0.400000,1.937207,0.150000,0.507297,2.594504,2.116764,0.500000,8.000,2.000,0,0
236,1180,right_shoulder_pitch,0.905460,0.311543,0.590123,0.500000,0.855460,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.578540,Cruise,traj_vel,-0.400000,1.944839,0.150000,0.474702,2.569541,2.153385,0.500000,8.000,2.000,0,0
237,1185,right_shoulder_pitch,0.910445,0.311666,0.592623,0.500000,0.860445,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.573555,Cruise,traj_vel,-0.400000,1.952423,0.150000,0.450193,2.552617,2.369456,0.500000,8.000,2.000,0,0
238,1190,right_shoulder_pitch,0.914664,0.263540,0.595123,0.500000,0.864664,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.569336,Cruise,traj_vel,-0.400000,1.958803,0.150000,0.455875,2.564678,2.332835,0.500000,8.000,2.000,0,0
239,1195,right_shoulder_pitch,0.918499,0.239730,0.597623,0.500000,0.868499,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.565501,Cruise,traj_vel,-0.400000,1.964572,0.150000,0.472041,2.586613,1.964782,0.500000,8.000,2.000,0,0
240,1200,right_shoulder_pitch,0.922718,0.263758,0.600123,0.500000,0.872718,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.561282,Cruise,traj_vel,-0.400000,1.970886,0.150000,0.472152,2.593038,1.981262,0.500000,8.000,2.000,0,0
241,1205,right_shoulder_pitch,0.926936,0.263592,0.602623,0.500000,0.876936,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.557064,Cruise,traj_vel,-0.400000,1.977164,0.150000,0.472318,2.599482,2.032531,0.500000,8.000,2.000,0,0
242,1210,right_shoulder_pitch,0.930771,0.239729,0.605123,0.500000,0.880771,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.553229,Cruise,traj_vel,-0.400000,1.982840,0.150000,0.484374,2.617214,2.135074,0.500000,8.000,2.000,0,0
243,1215,right_shoulder_pitch,0.934990,0.263575,0.607623,0.500000,0.884990,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.549010,Cruise,traj_vel,-0.400000,1.989050,0.150000,0.481493,2.620544,2.158878,0.500000,8.000,2.000,0,0
244,1220,right_shoulder_pitch,0.939975,0.311628,0.610123,0.500000,0.889975,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.544025,Cruise,traj_vel,-0.400000,1.996344,0.150000,0.455306,2.601650,2.127750,0.500000,8.000,2.000,0,0
245,1225,right_shoulder_pitch,0.945345,0.335340,0.612623,0.500000,0.895345,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.538655,Cruise,traj_vel,-0.400000,2.004145,0.150000,0.423810,2.577955,2.266914,0.500000,8.000,2.000,0,0
246,1230,right_shoulder_pitch,0.949563,0.263562,0.615123,0.500000,0.899563,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.534437,Cruise,traj_vel,-0.400000,2.010233,0.150000,0.436076,2.596309,2.417067,0.500000,8.000,2.000,0,0
247,1235,right_shoulder_pitch,0.953015,0.215501,0.617623,0.500000,0.903015,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.530985,Cruise,traj_vel,-0.400000,2.015187,0.150000,0.469306,2.634493,2.054508,0.500000,8.000,2.000,0,0
248,1240,right_shoulder_pitch,0.956850,0.240149,0.620123,0.500000,0.906850,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.527150,Cruise,traj_vel,-0.400000,2.020663,0.150000,0.481905,2.652569,2.091129,0.500000,8.000,2.000,0,0
249,1245,right_shoulder_pitch,0.960685,0.239574,0.622623,0.500000,0.910685,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.523315,Cruise,traj_vel,-0.400000,2.026110,0.150000,0.491642,2.667752,2.182685,0.500000,8.000,2.000,0,0
250,1250,right_shoulder_pitch,0.964520,0.239886,0.625123,0.500000,0.914520,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.519480,Cruise,traj_vel,-0.400000,2.031527,0.150000,0.498789,2.680316,2.005066,0.500000,8.000,2.000,0,0
251,1255,right_shoulder_pitch,0.967971,0.215690,0.627623,0.500000,0.917971,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.516029,Cruise,traj_vel,-0.400000,2.036377,0.150000,0.516247,2.702623,2.314525,0.500000,8.000,2.000,0,0
252,1260,right_shoulder_pitch,0.972574,0.287732,0.630123,0.500000,0.922574,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.511426,Cruise,traj_vel,-0.400000,2.042807,0.150000,0.493319,2.686126,2.188178,0.500000,8.000,2.000,0,0
253,1265,right_shoulder_pitch,0.977559,0.311466,0.632623,0.500000,0.927559,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.506441,Cruise,traj_vel,-0.400000,2.049722,0.150000,0.464256,2.663978,2.305369,0.500000,8.000,2.000,0,0
254,1270,right_shoulder_pitch,0.982545,0.311629,0.635123,0.500000,0.932545,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.501455,Cruise,traj_vel,-0.400000,2.056587,0.150000,0.442378,2.648964,2.426223,0.500000,8.000,2.000,0,0
255,1275,right_shoulder_pitch,0.986763,0.263693,0.637623,0.500000,0.936763,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.497237,Cruise,traj_vel,-0.400000,2.062355,0.150000,0.449937,2.662292,2.429885,0.500000,8.000,2.000,0,0
256,1280,right_shoulder_pitch,0.990215,0.215683,0.640123,0.500000,0.940215,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.493785,Cruise,traj_vel,-0.400000,2.067048,0.150000,0.479611,2.696659,2.122257,0.500000,8.000,2.000,0,0
257,1285,right_shoulder_pitch,0.994050,0.239790,0.642623,0.500000,0.944050,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.489950,Cruise,traj_vel,-0.400000,2.072233,0.150000,0.489813,2.712047,2.131412,0.500000,8.000,2.000,0,0
258,1290,right_shoulder_pitch,0.997502,0.215667,0.645123,0.500000,0.947502,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.486498,Cruise,traj_vel,-0.400000,2.076874,0.150000,0.509526,2.736400,2.131412,0.500000,8.000,2.000,0,0
259,1295,right_shoulder_pitch,1.001720,0.263656,0.647623,0.500000,0.951720,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.482280,Cruise,traj_vel,-0.400000,2.082512,0.150000,0.500317,2.732829,2.111270,0.500000,8.000,2.000,0,0
260,1300,right_shoulder_pitch,1.006322,0.287651,0.650123,0.500000,0.956322,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.477678,Cruise,traj_vel,-0.400000,2.088620,0.150000,0.481412,2.720032,2.378612,0.500000,8.000,2.000,0,0
261,1305,right_shoulder_pitch,1.011308,0.311559,0.652623,0.500000,0.961308,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.472692,Cruise,traj_vel,-0.400000,2.095187,0.150000,0.455279,2.700467,2.327342,0.500000,8.000,2.000,0,0
262,1310,right_shoulder_pitch,1.016293,0.311651,0.655123,0.500000,0.966293,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.467707,Cruise,traj_vel,-0.400000,2.101703,0.150000,0.435634,2.687337,2.387767,0.500000,8.000,2.000,0,0
263,1315,right_shoulder_pitch,1.020896,0.287604,0.657623,0.500000,0.970896,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.463104,Cruise,traj_vel,-0.400000,2.107671,0.150000,0.432923,2.690595,2.199165,0.500000,8.000,2.000,0,0
264,1320,right_shoulder_pitch,1.025498,0.287618,0.660123,0.500000,0.975498,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.458502,Cruise,traj_vel,-0.400000,2.113594,0.150000,0.430884,2.694478,2.296214,0.500000,8.000,2.000,0,0
265,1325,right_shoulder_pitch,1.029333,0.239720,0.662623,0.500000,0.979333,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.454667,Cruise,traj_vel,-0.400000,2.118496,0.150000,0.453303,2.721799,2.076480,0.500000,8.000,2.000,0,0
266,1330,right_shoulder_pitch,1.033168,0.239622,0.665123,0.500000,0.983168,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.450832,Cruise,traj_vel,-0.400000,2.123367,0.150000,0.470166,2.743533,2.138736,0.500000,8.000,2.000,0,0
267,1335,right_shoulder_pitch,1.037386,0.263738,0.667623,0.500000,0.987386,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.446614,Cruise,traj_vel,-0.400000,2.128688,0.150000,0.470756,2.749444,2.321849,0.500000,8.000,2.000,0,0
268,1340,right_shoulder_pitch,1.042371,0.311520,0.670123,0.500000,0.992371,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.441629,Cruise,traj_vel,-0.400000,2.134928,0.150000,0.447307,2.732235,2.222968,0.500000,8.000,2.000,0,0
269,1345,right_shoulder_pitch,1.046974,0.287678,0.672623,0.500000,0.996974,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.437026,Cruise,traj_vel,-0.400000,2.140643,0.150000,0.441641,2.732283,2.446364,0.500000,8.000,2.000,0,0
270,1350,right_shoulder_pitch,1.051576,0.287658,0.675123,0.500000,1.001576,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.432424,Cruise,traj_vel,-0.400000,2.146310,0.150000,0.437402,2.733712,2.493972,0.500000,8.000,2.000,0,0
271,1355,right_shoulder_pitch,1.055027,0.215680,0.677623,0.500000,1.005027,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.428973,Cruise,traj_vel,-0.400000,2.150531,0.150000,0.470211,2.770743,2.294383,0.500000,8.000,2.000,0,0
272,1360,right_shoulder_pitch,1.059246,0.263721,0.680123,0.500000,1.009246,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.424754,Cruise,traj_vel,-0.400000,2.155656,0.150000,0.470798,2.776454,2.153385,0.500000,8.000,2.000,0,0
273,1365,right_shoulder_pitch,1.062697,0.215654,0.682623,0.500000,1.012697,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.421303,Cruise,traj_vel,-0.400000,2.159820,0.150000,0.495271,2.805091,2.250434,0.500000,8.000,2.000,0,0
274,1370,right_shoulder_pitch,1.066149,0.215722,0.685123,0.500000,1.016149,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.417851,Cruise,traj_vel,-0.400000,2.163958,0.150000,0.513593,2.827551,2.177192,0.500000,8.000,2.000,0,0
275,1375,right_shoulder_pitch,1.070368,0.263742,0.687623,0.500000,1.020368,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.413632,Cruise,traj_vel,-0.400000,2.168982,0.150000,0.503324,2.822305,2.239448,0.500000,8.000,2.000,0,0
276,1380,right_shoulder_pitch,1.074970,0.287507,0.690123,0.500000,1.024970,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.409030,Cruise,traj_vel,-0.400000,2.174417,0.150000,0.483739,2.808156,2.296214,0.500000,8.000,2.000,0,0
277,1385,right_shoulder_pitch,1.080339,0.335672,0.692623,0.500000,1.030339,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.403661,Cruise,traj_vel,-0.400000,2.180700,0.150000,0.444968,2.775668,2.389598,0.500000,8.000,2.000,0,0
278,1390,right_shoulder_pitch,1.085708,0.335412,0.695123,0.500000,1.035708,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.398292,Cruise,traj_vel,-0.400000,2.186921,0.150000,0.416020,2.752941,2.574542,0.500000,8.000,2.000,0,0
279,1395,right_shoulder_pitch,1.089926,0.263798,0.697623,0.500000,1.039926,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.394074,Cruise,traj_vel,-0.400000,2.191764,0.150000,0.430116,2.771880,2.504958,0.500000,8.000,2.000,0,0
280,1400,right_shoulder_pitch,1.093762,0.239743,0.700123,0.500000,1.043762,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.390238,Cruise,traj_vel,-0.400000,2.196134,0.150000,0.452716,2.798850,2.083805,0.500000,8.000,2.000,0,0
281,1405,right_shoulder_pitch,1.098747,0.311552,0.702623,0.500000,1.048747,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.385253,Cruise,traj_vel,-0.400000,2.201765,0.150000,0.433761,2.785526,2.081974,0.500000,8.000,2.000,0,0
282,1410,right_shoulder_pitch,1.102966,0.263668,0.705123,0.500000,1.052966,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.381034,Cruise,traj_vel,-0.400000,2.206488,0.150000,0.443487,2.799974,2.358470,0.500000,8.000,2.000,0,0
283,1415,right_shoulder_pitch,1.106801,0.239659,0.707623,0.500000,1.056801,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.377199,Cruise,traj_vel,-0.400000,2.210747,0.150000,0.462785,2.823532,2.343822,0.500000,8.000,2.000,0,0
284,1420,right_shoulder_pitch,1.111019,0.263645,0.710123,0.500000,1.061019,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.372981,Cruise,traj_vel,-0.400000,2.215394,0.150000,0.465267,2.830661,2.303538,0.500000,8.000,2.000,0,0
285,1425,right_shoulder_pitch,1.116005,0.311645,0.712623,0.500000,1.066005,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.367995,Cruise,traj_vel,-0.400000,2.220835,0.150000,0.443127,2.813963,2.464675,0.500000,8.000,2.000,0,0
286,1430,right_shoulder_pitch,1.121374,0.335542,0.715123,0.500000,1.071374,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.362626,Cruise,traj_vel,-0.400000,2.226635,0.150000,0.414574,2.791209,2.640463,0.500000,8.000,2.000,0,0
287,1435,right_shoulder_pitch,1.125209,0.239736,0.717623,0.500000,1.075209,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.358791,Cruise,traj_vel,-0.400000,2.230737,0.150000,0.441063,2.821800,2.461013,0.500000,8.000,2.000,0,0
288,1440,right_shoulder_pitch,1.128661,0.215641,0.720123,0.500000,1.078661,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.355339,Cruise,traj_vel,-0.400000,2.234401,0.150000,0.472977,2.857378,2.204658,0.500000,8.000,2.000,0,0
289,1445,right_shoulder_pitch,1.132496,0.239642,0.722623,0.500000,1.082496,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.351504,Cruise,traj_vel,-0.400000,2.238441,0.150000,0.484912,2.873353,2.219306,0.500000,8.000,2.000,0,0
290,1450,right_shoulder_pitch,1.136714,0.263781,0.725123,0.500000,1.086714,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.347286,Cruise,traj_vel,-0.400000,2.242847,0.150000,0.481793,2.874640,2.200996,0.500000,8.000,2.000,0,0
291,1455,right_shoulder_pitch,1.140933,0.263615,0.727623,0.500000,1.090933,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.343067,Cruise,traj_vel,-0.400000,2.247213,0.150000,0.479537,2.876750,2.384105,0.500000,8.000,2.000,0,0
292,1460,right_shoulder_pitch,1.145152,0.263741,0.730123,0.500000,1.095152,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.338848,Cruise,traj_vel,-0.400000,2.251540,0.150000,0.477783,2.879322,2.415236,0.500000,8.000,2.000,0,0
293,1465,right_shoulder_pitch,1.150521,0.335502,0.732623,0.500000,1.100521,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.333479,Cruise,traj_vel,-0.400000,2.256988,0.150000,0.440586,2.847574,2.444533,0.500000,8.000,2.000,0,0
294,1470,right_shoulder_pitch,1.155890,0.335512,0.735123,0.500000,1.105890,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.328110,Cruise,traj_vel,-0.400000,2.262370,0.150000,0.412683,2.825054,2.488478,0.500000,8.000,2.000,0,0
295,1475,right_shoulder_pitch,1.161259,0.335665,0.737623,0.500000,1.111259,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.322741,Cruise,traj_vel,-0.400000,2.267688,0.150000,0.391680,2.809368,2.583697,0.500000,8.000,2.000,0,0
296,1480,right_shoulder_pitch,1.165094,0.239645,0.740123,0.500000,1.115094,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.318906,Cruise,traj_vel,-0.400000,2.271446,0.150000,0.423938,2.845384,2.336497,0.500000,8.000,2.000,0,0
297,1485,right_shoulder_pitch,1.169313,0.263734,0.742623,0.500000,1.119313,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.314687,Cruise,traj_vel,-0.400000,2.275543,0.150000,0.436086,2.861629,2.146060,0.500000,8.000,2.000,0,0
298,1490,right_shoulder_pitch,1.174298,0.311546,0.745123,0.500000,1.124298,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.309702,Cruise,traj_vel,-0.400000,2.280331,0.150000,0.421292,2.851622,2.255927,0.500000,8.000,2.000,0,0
299,1495,right_shoulder_pitch,1.178900,0.287606,0.747623,0.500000,1.128900,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.305100,Cruise,traj_vel,-0.400000,2.284700,0.150000,0.422166,2.856866,2.569048,0.500000,8.000,2.000,0,0
300,1500,right_shoulder_pitch,1.183119,0.263693,0.750123,0.500000,1.133119,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.300881,Cruise,traj_vel,-0.400000,2.288663,0.150000,0.434778,2.873441,2.493972,0.500000,8.000,2.000,0,0
301,1505,right_shoulder_pitch,1.188104,0.311506,0.752623,0.500000,1.138104,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.295896,Cruise,traj_vel,-0.400000,2.293293,0.150000,0.420331,2.863624,2.470168,0.500000,8.000,2.000,0,0
302,1510,right_shoulder_pitch,1.193090,0.311724,0.755123,0.500000,1.143090,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.290910,Cruise,traj_vel,-0.400000,2.297868,0.150000,0.409386,2.857254,2.640463,0.500000,8.000,2.000,0,0
303,1515,right_shoulder_pitch,1.196925,0.239613,0.757623,0.500000,1.146925,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.287075,Cruise,traj_vel,-0.400000,2.301347,0.150000,0.437233,2.888581,2.396922,0.500000,8.000,2.000,0,0
304,1520,right_shoulder_pitch,1.200377,0.215713,0.760123,0.500000,1.150377,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.283623,Cruise,traj_vel,-0.400000,2.304450,0.150000,0.470068,2.924518,2.446364,0.500000,8.000,2.000,0,0
305,1525,right_shoulder_pitch,1.203828,0.215786,0.762623,0.500000,1.153828,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.280172,Cruise,traj_vel,-0.400000,2.307525,0.150000,0.494658,2.952183,2.287059,0.500000,8.000,2.000,0,0
306,1530,right_shoulder_pitch,1.207663,0.239619,0.765123,0.500000,1.157663,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.276337,Cruise,traj_vel,-0.400000,2.310909,0.150000,0.501184,2.962094,2.299876,0.500000,8.000,2.000,0,0
307,1535,right_shoulder_pitch,1.211882,0.263355,0.767623,0.500000,1.161882,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.272118,Cruise,traj_vel,-0.400000,2.314593,0.150000,0.494211,2.958804,2.482985,0.500000,8.000,2.000,0,0
308,1540,right_shoulder_pitch,1.216484,0.287380,0.770123,0.500000,1.166484,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.267516,Cruise,traj_vel,-0.400000,2.318565,0.150000,0.476968,2.945533,2.371287,0.500000,8.000,2.000,0,0
309,1545,right_shoulder_pitch,1.221853,0.335824,0.772623,0.500000,1.171853,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.262147,Cruise,traj_vel,-0.400000,2.323137,0.150000,0.439814,2.912951,2.658774,0.500000,8.000,2.000,0,0
310,1550,right_shoulder_pitch,1.226839,0.311531,0.775123,0.500000,1.176839,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.257161,Cruise,traj_vel,-0.400000,2.327322,0.150000,0.424095,2.901417,2.713705,0.500000,8.000,2.000,0,0
311,1555,right_shoulder_pitch,1.231441,0.287787,0.777623,0.500000,1.181441,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.252559,Cruise,traj_vel,-0.400000,2.331133,0.150000,0.424178,2.905311,2.424392,0.500000,8.000,2.000,0,0
312,1560,right_shoulder_pitch,1.236426,0.311945,0.780123,0.500000,1.186426,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.247574,Cruise,traj_vel,-0.400000,2.335207,0.150000,0.412161,2.897368,2.254096,0.500000,8.000,2.000,0,0
313,1565,right_shoulder_pitch,1.241412,0.311577,0.782623,0.500000,1.191412,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.242588,Cruise,traj_vel,-0.400000,2.339223,0.150000,0.403332,2.892555,2.409743,0.500000,8.000,2.000,0,0
314,1570,right_shoulder_pitch,1.245631,0.263693,0.785123,0.500000,1.195631,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.238369,Cruise,traj_vel,-0.400000,2.342575,0.150000,0.420653,2.913228,2.506789,0.500000,8.000,2.000,0,0
315,1575,right_shoulder_pitch,1.250233,0.287669,0.787623,0.500000,1.200233,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.233767,Cruise,traj_vel,-0.400000,2.346185,0.150000,0.421655,2.917840,2.314525,0.500000,8.000,2.000,0,0
316,1580,right_shoulder_pitch,1.255985,0.359369,0.790123,0.500000,1.205985,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.228015,Cruise,traj_vel,-0.400000,2.350627,0.150000,0.386557,2.887184,2.547076,0.500000,8.000,2.000,0,0
317,1585,right_shoulder_pitch,1.260970,0.311722,0.792623,0.500000,1.210970,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.223030,Cruise,traj_vel,-0.400000,2.354414,0.150000,0.384057,2.888471,2.744833,0.500000,8.000,2.000,0,0
318,1590,right_shoulder_pitch,1.264806,0.239645,0.795123,0.500000,1.214806,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.219194,Cruise,traj_vel,-0.400000,2.357288,0.150000,0.418220,2.925508,2.471999,0.500000,8.000,2.000,0,0
319,1595,right_shoulder_pitch,1.269025,0.263713,0.797623,0.500000,1.219025,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.214975,Cruise,traj_vel,-0.400000,2.360408,0.150000,0.431808,2.942217,2.274238,0.500000,8.000,2.000,0,0
320,1600,right_shoulder_pitch,1.273627,0.287657,0.800123,0.500000,1.223627,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.210373,Cruise,traj_vel,-0.400000,2.363765,0.150000,0.430028,2.943793,2.232124,0.500000,8.000,2.000,0,0
321,1605,right_shoulder_pitch,1.277845,0.263620,0.802623,0.500000,1.227845,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.206155,Cruise,traj_vel,-0.400000,2.366797,0.150000,0.440711,2.957508,2.481154,0.500000,8.000,2.000,0,0
322,1610,right_shoulder_pitch,1.282063,0.263622,0.805123,0.500000,1.232063,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.201937,Cruise,traj_vel,-0.400000,2.369788,0.150000,0.448722,2.968510,2.504958,0.500000,8.000,2.000,0,0
323,1615,right_shoulder_pitch,1.286665,0.287644,0.807623,0.500000,1.236665,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.197335,Cruise,traj_vel,-0.400000,2.373002,0.150000,0.442720,2.965722,2.352977,0.500000,8.000,2.000,0,0
324,1620,right_shoulder_pitch,1.292419,0.359475,0.810123,0.500000,1.242419,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.191581,Cruise,traj_vel,-0.400000,2.376950,0.150000,0.402302,2.929252,2.488478,0.500000,8.000,2.000,0,0
325,1625,right_shoulder_pitch,1.298171,0.359489,0.812623,0.500000,1.248171,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.185829,Cruise,traj_vel,-0.400000,2.380818,0.150000,0.371982,2.902800,2.920622,0.500000,8.000,2.000,0,0
326,1630,right_shoulder_pitch,1.302389,0.263782,0.815123,0.500000,1.252389,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.181611,Cruise,traj_vel,-0.400000,2.383605,0.150000,0.397096,2.930700,2.468337,0.500000,8.000,2.000,0,0
327,1635,right_shoulder_pitch,1.306608,0.263601,0.817623,0.500000,1.256608,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.177392,Cruise,traj_vel,-0.400000,2.386349,0.150000,0.416021,2.952370,2.222968,0.500000,8.000,2.000,0,0
328,1640,right_shoulder_pitch,1.311977,0.335587,0.820123,0.500000,1.261977,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.172023,Cruise,traj_vel,-0.400000,2.389781,0.150000,0.394222,2.934003,2.237617,0.500000,8.000,2.000,0,0
329,1645,right_shoulder_pitch,1.316579,0.287584,0.822623,0.500000,1.266579,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.167421,Cruise,traj_vel,-0.400000,2.392667,0.150000,0.401875,2.944542,2.722861,0.500000,8.000,2.000,0,0
330,1650,right_shoulder_pitch,1.320414,0.239662,0.825123,0.500000,1.270414,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.163586,Cruise,traj_vel,-0.400000,2.395034,0.150000,0.431575,2.976609,2.530596,0.500000,8.000,2.000,0,0
331,1655,right_shoulder_pitch,1.325400,0.311743,0.827623,0.500000,1.275400,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.158600,Cruise,traj_vel,-0.400000,2.398058,0.150000,0.417810,2.965868,2.482985,0.500000,8.000,2.000,0,0
332,1660,right_shoulder_pitch,1.330769,0.335523,0.830123,0.500000,1.280769,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.153231,Cruise,traj_vel,-0.400000,2.401248,0.150000,0.395596,2.946844,2.600176,0.500000,8.000,2.000,0,0
333,1665,right_shoulder_pitch,1.335371,0.287628,0.832623,0.500000,1.285371,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.148629,Cruise,traj_vel,-0.400000,2.403927,0.150000,0.402883,2.956810,2.697226,0.500000,8.000,2.000,0,0
334,1670,right_shoulder_pitch,1.338823,0.215685,0.835123,0.500000,1.288823,1.484000,1.484000,-0.872665,3.136111,-0.050000,1,0.145177,Cruise,traj_vel,-0.400000,2.405903,0.150000,0.444320,3.000223,2.426223,0.500000,8.000,2.000,0,0
