part_id,description,qty,vendor,mpn,notes
actuator_rs04,Robstride RS04 joint motor,4,Robstride,RS04,"left/right hip_pitch + left/right knee; 120 Nm peak"
actuator_rs03,Robstride RS03 joint motor,9,Robstride,RS03,"hip roll/yaw x4 + waist_yaw + shoulder roll/pitch x4; 60 Nm peak"
actuator_rs02,Robstride RS02 joint motor,10,Robstride,RS02,"ankle x4 + arm yaw/elbow/wrist x6; 17 Nm peak"
extrusion_2020_profile,IXGNIJ 2020 T-slot EU black 500mm (4-pack),2,Amazon,B08Y8KCJW4,"User link; 2 packs or 1000mm variant for torso (~2300mm cuts). NOT V-Slot."
frame_2020_vertical_380,Torso 2020 vertical corner rail 380mm,4,cut,,,From extrusion_2020_profile; instance name must include part_id
frame_2020_rail_x_085,Torso 2020 rail along +X 85mm,4,cut,,,Front/back top+bottom
frame_2020_rail_y_110,Torso 2020 rail along +Y 110mm,4,cut,,,Left/right top+bottom
